CCSC(=Nc1ccc(cc1)C(F)(F)F)N	2733516-inactive-pubchem
c1ccc(c(c1)C(=O)c1cc(c(c(c1)O)O)[N+](=O)[O-])F	3495594-inactive-pubchem
Cc1[n+](c2ccccc2c(c1)N)CCCCCCCCCC[n+]1c(cc(c2ccccc12)N)C	10649-inactive-pubchem
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]1[C@H](O[C@H]([C@@H]([C@H]1O)O)O)CO)O)O)O)O	10712-inactive-pubchem
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F	16562-inactive-pubchem
C1[C@@H]([C@@H]([C@H]([C@@H]1O)/C=C/[C@H](COc1cc(ccc1)Cl)O)C/C=C\CCCC(=O)[O-])O	17756794-inactive-pubchem
Cc1c(cc(cc1)[N+](=O)[O-])S(=O)(=O)N(C)C	2921148-inactive-pubchem
CCOc1ccc(cc1)N=Nc1c(cc(cc1)N)N	16837-inactive-pubchem
c1c(cc(c(c1Cl)Cl)Cl)[N+](=O)[O-]	88365-inactive-pubchem
CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]1[C@H]2CCc2c1ccc(c2)O)C	13791-inactive-pubchem
COc1ccc(cc1)C(=O)/C(=C\C(=O)O)/Br	5358572-inactive-pubchem
CCC(C)(OO)OOC(C)(CC)OO	3672772-inactive-pubchem
C[C@H](Cn1cnc2c(ncnc12)N)OCP(=O)(O)O	464205-inactive-pubchem
C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]1[C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@@H]1[C@H](O[C@H]([C@@H]([C@H]1O)O)O)CO)CO)O)O)N[C@H]1C=C([C@H]([C@@H]([C@H]1O)O)O)CO	444254-inactive-pubchem
C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N	13218779-inactive-pubchem
CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N	102678-inactive-pubchem
CC(=CCC/C(=C/C=O)/C)C	638011-inactive-pubchem
C1C[C@](C[C@@H]1C(=O)O)(C(=O)O)N	104766-inactive-pubchem
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])N	7321-inactive-pubchem
c1cc(cc(c1)[N+](=O)[O-])N	7423-inactive-pubchem
c1ccc(c(c1)N)[N+](=O)[O-]	6946-inactive-pubchem
c1cc(ccc1N)[N+](=O)[O-]	7475-inactive-pubchem
Cc1c(cccc1[N+](=O)[O-])N	11783-inactive-pubchem
C1CCc2c(C1)c(c1CCCc1n2)N	6917941-inactive-pubchem
Cc1ccccc1OCC1CO1	16640-inactive-pubchem
CC1=CC(=O)[N-]S(=O)(=O)O1	11074431-inactive-pubchem
COc1c(cc(cc1)C1(CCC(CC1)C(=O)O)C#N)OC1CCCC1	151170-inactive-pubchem
c1cc(c(cc1[N+](=O)[O-])N)O	3613389-inactive-pubchem
C1[C@@H]([C@H]1C(=O)O)[C@@H](C(=O)O)N	5310956-inactive-pubchem
CC(COc1ccccc1)O	92839-inactive-pubchem
Cc1ccc(cc1)S(=O)(=O)[N-]Cl	517414-inactive-pubchem
c1c(cc(cc1O)O)[C@@H](C(=O)O)N	443586-inactive-pubchem
C=CCOc1c(cc(cc1)CC(=O)O)Cl	30951-inactive-pubchem
COc1c(cc(cc1)[N+](=O)[O-])N	7447-inactive-pubchem
